timestamp_utc,triangles_discovered,directions_evaluated,best_triangle,best_profit_pct,fee_rate
2026-09-02T15:13:44.567437+00:00,835,1658,USDT->GRAM->IDR->USDT,-0.18912,0.001
2026-09-02T15:31:10.849222+00:00,835,1660,USDT->PLUME->USDC->USDT,-0.26879,0.001
2026-09-02T15:46:42.963181+00:00,835,1660,USDT->USDC->1000CAT->USDT,-0.28142,0.001
2026-09-02T15:56:45.855324+00:00,835,1660,USDT->XAUT->USDC->USDT,-0.27544,0.001
2026-09-02T16:08:06.791355+00:00,835,1660,USDT->ROBO->TRY->USDT,-0.24639,0.001
2026-09-02T16:23:38.691851+00:00,835,1660,USDT->USDS->BTC->USDT,-0.17781,0.001
2026-09-02T16:35:20.989323+00:00,835,1658,USDT->USDS->BTC->USDT,-0.23868,0.001
2026-09-02T16:47:20.921216+00:00,835,1660,USDT->TRY->ICP->USDT,-0.26472,0.001
2026-09-02T16:56:19.050870+00:00,835,1660,USDT->XRP->RLUSD->USDT,-0.25234,0.001
2026-09-02T17:05:34.013604+00:00,835,1660,USDT->USDC->ARS->USDT,-0.26057,0.001
2026-09-02T17:19:25.179640+00:00,835,1660,USDT->FDUSD->FF->USDT,-0.26509,0.001
2026-09-02T17:29:46.196167+00:00,835,1660,USDT->ROBO->TRY->USDT,-0.26052,0.001
2026-09-02T17:40:00.267314+00:00,835,1660,USDT->ACE->TRY->USDT,-0.25791,0.001
2026-09-02T17:47:41.856557+00:00,835,1660,USDT->1000CAT->USDC->USDT,-0.2678,0.001
2026-09-02T17:55:03.131399+00:00,835,1660,USDT->USDC->NEWT->USDT,-0.25831,0.001
2026-09-02T18:04:31.801473+00:00,835,1660,USDT->PLUME->USDC->USDT,-0.2678,0.001
2026-09-02T18:24:08.629226+00:00,835,1660,USDT->USDS->BTC->USDT,-0.25787,0.001
2026-09-02T18:35:57.240376+00:00,835,1660,USDT->TRY->DOGS->USDT,-0.26265,0.001
2026-09-02T18:47:07.296821+00:00,835,1660,USDT->TUT->USDC->USDT,-0.23582,0.001
2026-09-02T18:55:38.789975+00:00,835,1660,USDT->ARPA->TRY->USDT,-0.25972,0.001
2026-09-02T19:04:54.493067+00:00,835,1660,USDT->INIT->TRY->USDT,-0.25123,0.001
2026-09-02T19:18:01.128526+00:00,835,1660,USDT->1INCH->USDC->USDT,-0.16341,0.001
2026-09-02T19:27:45.373228+00:00,835,1660,USDT->USDC->ACE->USDT,-0.26704,0.001
2026-09-02T19:36:02.692003+00:00,835,1660,USDT->USDC->AR->USDT,-0.23983,0.001
